three,one,MW,lambdas,sigmas,q,bondlength
ARG,R,156.19,0.7307624767517166,0.6559999999999999,1,0.38
ASP,D,115.09,0.0416040480605567,0.5579999999999999,-1,0.38
ASN,N,114.1,0.4255859009787713,0.568,0,0.38
GLU,E,129.11,0.0006935460962935,0.5920000000000001,-1,0.38
LYS,K,128.17,0.1790211738990582,0.636,1,0.38
HIS,H,137.14,0.4663667290557992,0.608,0,0.38
GLN,Q,128.13,0.3934318551056041,0.602,0,0.38
SER,S,87.08,0.4625416811611541,0.518,0,0.38
CYS,C,103.14,0.5615435099141777,0.5479999999999999,0,0.38
GLY,G,57.05,0.7058843733666401,0.45,0,0.38
THR,T,101.11,0.3713162976273964,0.562,0,0.38
ALA,A,71.07,0.2743297969040348,0.504,0,0.38
MET,M,131.2,0.5308481134337497,0.618,0,0.38
TYR,Y,163.18,0.9774611449343455,0.6459999999999999,0,0.38
VAL,V,99.13,0.2083769608174481,0.5860000000000001,0,0.38
TRP,W,186.22,0.9893764740371644,0.6779999999999999,0,0.38
LEU,L,113.16,0.6440005007782226,0.618,0,0.38
ILE,I,113.16,0.5423623610671892,0.618,0,0.38
PRO,P,97.12,0.3593126576364644,0.5559999999999999,0,0.38
PHE,F,147.18,0.8672358982062975,0.636,0,0.38
LPH,B,100.0,0.4625416811611541,0.855,0,0.38
LPT,Z,200.0,0.9774611449343455,0.9,0,0.38
ADE,a,134.1,1.18,0.6430,0,0.54
URI,u,111.1,1.18,0.5958,0,0.54
RBC,p,194.1,0.00,0.6954,-1,0.59
RNA,r,126.3,1.18,0.6238,0,0.54
